district_id,funding_year,name,state_code,num_students,ia_bw_mbps_total,ia_monthly_cost_total,upstream_monthly_cost_total,projected_mrc_1g,projected_mrc_10g,multiple_10G_no_oversub,projected_mrc_10g_10kplus_no_oversub,total_projected_cost
882124,2019,Decatur Public School District,AR,632.0,1500,5390.300017892969,1554.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882128,2019,Dermott Public School District,AR,372.0,1250,4252.936086481304,3796.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882132,2019,Des Arc Public School District,AR,551.0,2000,4663.805870030104,1440.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882134,2019,Morgan County School District,AL,7683.0,2500,9233.9,0,0.0,2500.0,0.0,0.0,2500.0
882137,2019,Dierks Public School District,AR,587.0,1000,3400.0254913024883,2679.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882140,2019,Mountain Brook City,AL,4343.0,2000,5022.09,0,0.0,2500.0,0.0,0.0,2500.0
882145,2019,Dollarway Public School District,AR,1635.0,2000,3670.30779945412,1662.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882146,2019,Muscle Shoals City Schools,AL,2883.0,2000,6087.87,0,0.0,2500.0,0.0,0.0,2500.0
882151,2019,Dover Public School District 17,AR,1423.0,2000,3247.903363072301,1500.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882152,2019,Oneonta City School District,AL,1492.0,1500,12871.09,0,0.0,2500.0,0.0,0.0,2500.0
882156,2019,Drew Central School District,AR,1078.0,2000,3724.131992545285,2400.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882157,2019,Opelika City School District,AL,4395.0,2000,5500.0,0,0.0,2500.0,0.0,0.0,2500.0
882162,2019,Dumas Public School District,AR,1359.0,2000,4189.290703032507,2520.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882164,2019,Opp City School District,AL,1322.0,1000,4006.84,0,0.0,2500.0,0.0,0.0,2500.0
882167,2019,Earle School District,AR,638.0,1000,2031.6699547716994,1248.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882169,2019,Oxford City School District,AL,4143.0,2500,8743.8,0,0.0,2500.0,0.0,0.0,2500.0
882172,2019,East End Public School District,AR,679.0,1000,3513.0311901096925,2679.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882174,2019,Ozark City School District,AL,2118.0,1500,5105.05,0,0.0,2500.0,0.0,0.0,2500.0
882177,2019,El Dorado School District,AR,4421.0,6000,8752.015156811414,3321.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882178,2019,Pell City School District,AL,3999.0,1000,5623.98,0,0.0,2500.0,0.0,0.0,2500.0
882181,2019,Elkins Public School District 10,AR,1210.0,2000,5986.810603877361,4500.5400000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882183,2019,Perry County School District,AL,1442.0,1000,4442.19,0,0.0,2500.0,0.0,0.0,2500.0
882187,2019,England Public School District 2,AR,767.0,1000,2172.1235976644098,1230.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882188,2019,Phenix City School District,AL,7029.0,2000,6221.15,0,0.0,2500.0,0.0,0.0,2500.0
882192,2019,Eureka Springs School District,AR,647.0,1000,2042.7248600897954,1248.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882193,2019,Pickens County School District,AL,2609.0,1500,8205.91,0,0.0,2500.0,0.0,0.0,2500.0
882198,2019,Camden-Public Schools,AR,2586.0,4000,5667.6427947329385,2491.200000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882199,2019,Piedmont City School District,AL,1235.0,2000,7504.27,0,0.0,2500.0,0.0,0.0,2500.0
882202,2019,Farmington School District,AR,2503.0,3000,6216.09200124383,3141.600000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882203,2019,Pike County School District,AL,2122.0,1000,4006.84,0,0.0,2500.0,0.0,0.0,2500.0
882206,2019,Fayetteville School District # 1,AR,9816.0,20000,25737.21673360345,13680.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882210,2019,Flippin Public School District,AR,878.0,1000,2372.307429920928,1293.8400000000000000000000,890.0,0.0,0.0,0.0,890.0
882213,2019,Randolph County School District,AL,2251.0,1000,7116.59,0,0.0,2500.0,0.0,0.0,2500.0
882216,2019,Fordyce Public School District,AR,813.0,1000,3677.6264470680117,2679.00000000000000000000,890.0,0.0,0.0,0.0,890.0
882220,2019,Foreman Public School District,AR,494.0,1000,2063.241469682162,2389.0058333333300000000000000000000,890.0,0.0,0.0,0.0,890.0
882225,2019,Forrest City School District 7,AR,2594.0,4000,5677.469377237912,2491.200000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882229,2019,Fort Smith Public School,AR,14888.0,20000,31967.270041757147,13680.00000000000000000000,0.0,0.0,2.0,5000.0,5000.0
882230,2019,Roanoke City,AL,1535.0,1000,3904.27,0,0.0,2500.0,0.0,0.0,2500.0
882235,2019,Fouke School District 15,AR,1143.0,2000,4637.972975398201,3234.00000000000000000000,0.0,2500.0,0.0,0.0,2500.0
882236,2019,Russell County School District,AL,3399.0,1000,3979.64,0,0.0,2500.0,0.0,0.0,2500.0
882241,2019,Russellville City Schools,AL,2530.0,1500,6421.98,0,0.0,2500.0,0.0,0.0,2500.0
