,district_id,state_code,name,num_students,locale,size,meeting_2018_goal_oversub,fy18_ia_bw_mbps_total,fy17_ia_bw_mbps_total,fy18_ia_bandwidth_per_student_kbps,fy17_ia_bandwidth_per_student_kbps,fy18_hierarchy_ia_connect_category,fy17_hierarchy_ia_connect_category
1114,901143,IL,Skokie Fairview School District 72,707,Urban,Tiny,True,1000,1000,1414,1406,Fiber,Fiber
1115,901144,IL,Farrington Ccsd 99,66,Rural,Tiny,True,250,250,3788,5208,Fiber,Fiber
1116,901146,IL,Field Community Consolidated School District 3,282,Rural,Tiny,True,1000,1000,3546,3311,Fiber,Fiber
1117,901151,IL,Forest Park School District 91,836,Suburban,Small,True,1000,1000,1196,1355,Fiber,Fiber
1118,901154,IL,Fox Lake Grade School District 114,782,Suburban,Small,True,1200,1200,1535,1697,Fiber,Fiber
1119,901164,IL,Galatia Cusd #1,435,Rural,Small,True,1000,1000,2299,2222,Fiber,Fiber
1120,901172,IL,Geff C C School District 14,98,Rural,Tiny,True,100,100,1020,980,Fiber,Fiber
1121,901180,IL,Gifford C C School District 188,201,Rural,Tiny,True,300,100,1493,485,Fiber,Fiber
1122,901184,IL,Glenbard Township High School District 87,7967,Suburban,Small,True,9000,6000,1130,737,Fiber,Fiber
1123,901188,IL,Brookwood School District 167,1161,Suburban,Small,True,2000,1000,1723,861,Fiber,Fiber
1124,901190,IL,Gower School District 62,875,Suburban,Small,True,1000,1000,1143,1129,Fiber,Fiber
1125,901196,IL,Grant Community High School District 124,1836,Suburban,Tiny,True,3100,3000,1688,1610,Fiber,Fiber
1126,901203,IL,Grayville C U School District 1,321,Rural,Small,True,400,400,1246,1404,Fiber,Fiber
1127,901205,IL,Greenfield Community Unit School District 10,457,Rural,Small,True,2000,1100,4376,2064,Fiber,Fiber
1128,901211,IL,Gurnee School District 56,2054,Suburban,Small,True,5000,1000,2434,485,Fiber,Fiber
1129,901213,IL,Northbrook Elem School District 27,1231,Suburban,Small,True,10200,350,8286,287,Fiber,Fiber
1130,901218,IL,Calhoun Community Unit School District 40,461,Rural,Small,True,1000,100,2169,220,Fiber,Fiber
1131,901224,IL,Harrison School District 36,368,Rural,Tiny,True,1000,500,2717,1176,Fiber,Fiber
1132,901225,IL,Hartsburg-Emden Community Unified School District 21,183,Rural,Small,True,200,200,1093,1058,Fiber,Fiber
1133,901227,IL,Harvey School District 152,1905,Suburban,Medium,True,2000,2000,1050,951,Fiber,Fiber
1134,901231,IL,Hawthorn School District 73,4045,Suburban,Medium,True,3000,1000,742,245,Fiber,Fiber
1135,901240,IL,Township High School District 113,3673,Suburban,Small,True,10000,2000,2723,538,Fiber,Fiber
1136,901244,IL,Hillside School District 93,480,Suburban,Tiny,True,500,500,1042,1037,Fiber,Fiber
1137,901249,IL,Hollis School District 328,161,Rural,Tiny,True,200,200,1242,1266,Cable,Cable
1138,901257,IL,Hoover-Schoolrum Mem School District 157,874,Suburban,Small,True,1200,200,1373,215,Fiber,Fiber
1139,901268,IL,Irvington C U School District 11,64,Town,Tiny,True,75,75,1172,1316,Fiber,Fiber
1140,901272,IL,Jacksonville School District 117,3207,Town,Medium,True,5000,5000,1559,1583,Fiber,Fiber
1141,901278,IL,Johnsburg C U School District 12,1904,Suburban,Small,True,2000,700,1050,368,Fiber,Fiber
1142,901279,IL,Johnston City Community Unit School District 1,1118,Town,Small,True,1320,320,1181,282,Fiber,Fiber
1143,901293,IL,Kildeer Countryside District 96,3248,Suburban,Medium,True,3000,1000,924,302,Fiber,Fiber
1144,901294,IL,Kings Consolidated School District 144,71,Rural,Tiny,True,200,50,2817,704,Fiber,Fiber
1145,901299,IL,Knoxville School District 202,1060,Town,Small,True,2000,200,1887,189,Fiber,Fiber
1146,901300,IL,Komarek School District 94,544,Suburban,Tiny,True,1000,1000,1838,1942,Fiber,Fiber
1147,901301,IL,Darien School District 61,1482,Suburban,Small,True,3000,1000,2024,715,Fiber,Fiber
1148,901307,IL,La Grange School District 105,1402,Suburban,Small,True,3000,800,2140,597,Fiber,Fiber
1149,901314,IL,Lake Villa School District 41,2591,Suburban,Small,True,4000,1000,1544,386,Fiber,Fiber
1150,901323,IL,Red Hill Community School District 10,997,Town,Small,True,1100,100,1103,103,Fiber,Fiber
1151,901338,IL,Liberty Community Unit District 2,593,Rural,Small,True,2000,2000,3373,3306,Fiber,Fiber
1152,901339,IL,Libertyville Elem School District 70,2351,Suburban,Small,True,3000,3000,1276,1304,Fiber,Fiber
1153,901344,IL,Limestone Walters #316,194,Rural,Tiny,True,200,200,1031,1111,Fiber,Fiber
1154,901350,IL,Lincolnshire-Prairievw School District 103,1739,Suburban,Small,True,2000,1000,1150,545,Fiber,Fiber
